info face="Futura-CondensedExtraBold" size=64 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=0,0
common lineHeight=84 base=66 scaleW=2048 scaleH=2048 pages=1 packed=0
page id=0 file="futuraChinese.png"
chars count=821
char id=32     x=239   y=1380  width=0     height=0     xoffset=0     yoffset=67    xadvance=19    page=0 chnl=0 letter="space"
char id=34     x=1969  y=1329  width=26    height=21    xoffset=2     yoffset=18    xadvance=29    page=0 chnl=0 letter="""
char id=35     x=1133  y=1329  width=32    height=50    xoffset=4     yoffset=17    xadvance=39    page=0 chnl=0 letter="#"
char id=36     x=102   y=0     width=27    height=64    xoffset=7     yoffset=10    xadvance=39    page=0 chnl=0 letter="$"
char id=37     x=1732  y=1272  width=48    height=53    xoffset=2     yoffset=16    xadvance=50    page=0 chnl=0 letter="%"
char id=43     x=1788  y=1329  width=33    height=35    xoffset=3     yoffset=24    xadvance=39    page=0 chnl=0 letter="+"
char id=44     x=1926  y=1329  width=20    height=25    xoffset=-0    yoffset=54    xadvance=19    page=0 chnl=0 letter=","
char id=45     x=125   y=1380  width=17    height=11    xoffset=0     yoffset=43    xadvance=16    page=0 chnl=0 letter="-"
char id=46     x=109   y=1380  width=16    height=16    xoffset=2     yoffset=52    xadvance=19    page=0 chnl=0 letter="."
char id=47     x=0     y=0     width=43    height=70    xoffset=0     yoffset=12    xadvance=43    page=0 chnl=0 letter="/"
char id=48     x=38    y=1329  width=36    height=51    xoffset=2     yoffset=17    xadvance=39    page=0 chnl=0 letter="0"
char id=49     x=1269  y=1329  width=20    height=50    xoffset=10    yoffset=17    xadvance=39    page=0 chnl=0 letter="1"
char id=50     x=74    y=1329  width=35    height=51    xoffset=2     yoffset=16    xadvance=39    page=0 chnl=0 letter="2"
char id=51     x=109   y=1329  width=34    height=51    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="3"
char id=52     x=854   y=1329  width=36    height=50    xoffset=2     yoffset=17    xadvance=39    page=0 chnl=0 letter="4"
char id=53     x=279   y=1329  width=33    height=51    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="5"
char id=54     x=143   y=1329  width=34    height=51    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="6"
char id=55     x=780   y=1329  width=37    height=50    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="7"
char id=56     x=177   y=1329  width=34    height=51    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="8"
char id=57     x=211   y=1329  width=34    height=51    xoffset=3     yoffset=16    xadvance=39    page=0 chnl=0 letter="9"
char id=58     x=1516  y=1329  width=16    height=37    xoffset=2     yoffset=31    xadvance=19    page=0 chnl=0 letter=":"
char id=61     x=0     y=1380  width=34    height=19    xoffset=3     yoffset=32    xadvance=39    page=0 chnl=0 letter="="
char id=64     x=1930  y=1272  width=45    height=51    xoffset=3     yoffset=17    xadvance=50    page=0 chnl=0 letter="@"
char id=65     x=625   y=1329  width=39    height=50    xoffset=0     yoffset=17    xadvance=39    page=0 chnl=0 letter="A"
char id=66     x=1032  y=1329  width=34    height=50    xoffset=3     yoffset=17    xadvance=38    page=0 chnl=0 letter="B"
char id=67     x=376   y=1329  width=30    height=51    xoffset=2     yoffset=17    xadvance=32    page=0 chnl=0 letter="C"
char id=68     x=962   y=1329  width=35    height=50    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="D"
char id=69     x=1194  y=1329  width=26    height=50    xoffset=3     yoffset=17    xadvance=30    page=0 chnl=0 letter="E"
char id=70     x=1220  y=1329  width=25    height=50    xoffset=3     yoffset=17    xadvance=28    page=0 chnl=0 letter="F"
char id=71     x=1975  y=1272  width=38    height=51    xoffset=2     yoffset=17    xadvance=41    page=0 chnl=0 letter="G"
char id=72     x=1066  y=1329  width=34    height=50    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="H"
char id=73     x=1289  y=1329  width=15    height=50    xoffset=3     yoffset=17    xadvance=20    page=0 chnl=0 letter="I"
char id=74     x=433   y=1329  width=24    height=51    xoffset=0     yoffset=17    xadvance=26    page=0 chnl=0 letter="J"
char id=75     x=817   y=1329  width=37    height=50    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="K"
char id=76     x=1245  y=1329  width=24    height=50    xoffset=3     yoffset=17    xadvance=27    page=0 chnl=0 letter="L"
char id=77     x=573   y=1329  width=52    height=50    xoffset=2     yoffset=17    xadvance=55    page=0 chnl=0 letter="M"
char id=78     x=997   y=1329  width=35    height=50    xoffset=3     yoffset=17    xadvance=41    page=0 chnl=0 letter="N"
char id=79     x=0     y=1329  width=38    height=51    xoffset=2     yoffset=17    xadvance=41    page=0 chnl=0 letter="O"
char id=80     x=1100  y=1329  width=33    height=50    xoffset=3     yoffset=17    xadvance=37    page=0 chnl=0 letter="P"
char id=81     x=379   y=1272  width=39    height=57    xoffset=2     yoffset=17    xadvance=42    page=0 chnl=0 letter="Q"
char id=82     x=890   y=1329  width=36    height=50    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="R"
char id=83     x=406   y=1329  width=27    height=51    xoffset=2     yoffset=17    xadvance=29    page=0 chnl=0 letter="S"
char id=84     x=1165  y=1329  width=29    height=50    xoffset=0     yoffset=17    xadvance=28    page=0 chnl=0 letter="T"
char id=85     x=245   y=1329  width=34    height=51    xoffset=3     yoffset=17    xadvance=39    page=0 chnl=0 letter="U"
char id=86     x=664   y=1329  width=39    height=50    xoffset=0     yoffset=17    xadvance=38    page=0 chnl=0 letter="V"
char id=87     x=517   y=1329  width=56    height=50    xoffset=0     yoffset=17    xadvance=55    page=0 chnl=0 letter="W"
char id=88     x=703   y=1329  width=39    height=50    xoffset=0     yoffset=17    xadvance=37    page=0 chnl=0 letter="X"
char id=89     x=742   y=1329  width=38    height=50    xoffset=0     yoffset=17    xadvance=36    page=0 chnl=0 letter="Y"
char id=90     x=926   y=1329  width=36    height=50    xoffset=1     yoffset=17    xadvance=37    page=0 chnl=0 letter="Z"
char id=92     x=43    y=0     width=43    height=70    xoffset=1     yoffset=12    xadvance=43    page=0 chnl=0 letter="\"
char id=95     x=201   y=1380  width=38    height=9     xoffset=0     yoffset=69    xadvance=36    page=0 chnl=0 letter="_"
char id=97     x=1371  y=1329  width=33    height=37    xoffset=2     yoffset=31    xadvance=36    page=0 chnl=0 letter="a"
char id=98     x=1283  y=1272  width=33    height=55    xoffset=3     yoffset=13    xadvance=36    page=0 chnl=0 letter="b"
char id=99     x=1496  y=1329  width=20    height=37    xoffset=2     yoffset=31    xadvance=22    page=0 chnl=0 letter="c"
char id=100    x=1316  y=1272  width=33    height=55    xoffset=2     yoffset=13    xadvance=36    page=0 chnl=0 letter="d"
char id=101    x=1437  y=1329  width=32    height=37    xoffset=2     yoffset=31    xadvance=35    page=0 chnl=0 letter="e"
char id=102    x=1349  y=1272  width=22    height=55    xoffset=1     yoffset=12    xadvance=22    page=0 chnl=0 letter="f"
char id=103    x=1886  y=1272  width=32    height=52    xoffset=2     yoffset=31    xadvance=36    page=0 chnl=0 letter="g"
char id=104    x=1629  y=1272  width=31    height=54    xoffset=3     yoffset=13    xadvance=36    page=0 chnl=0 letter="h"
char id=105    x=1818  y=1272  width=16    height=53    xoffset=2     yoffset=14    xadvance=18    page=0 chnl=0 letter="i"
char id=106    x=86    y=0     width=16    height=68    xoffset=2     yoffset=14    xadvance=18    page=0 chnl=0 letter="j"
char id=107    x=1595  y=1272  width=34    height=54    xoffset=3     yoffset=13    xadvance=36    page=0 chnl=0 letter="k"
char id=108    x=1660  y=1272  width=14    height=54    xoffset=3     yoffset=13    xadvance=18    page=0 chnl=0 letter="l"
char id=109    x=1532  y=1329  width=49    height=36    xoffset=3     yoffset=31    xadvance=53    page=0 chnl=0 letter="m"
char id=110    x=1613  y=1329  width=31    height=36    xoffset=3     yoffset=31    xadvance=36    page=0 chnl=0 letter="n"
char id=111    x=1404  y=1329  width=33    height=37    xoffset=2     yoffset=31    xadvance=35    page=0 chnl=0 letter="o"
char id=112    x=312   y=1329  width=32    height=51    xoffset=3     yoffset=31    xadvance=36    page=0 chnl=0 letter="p"
char id=113    x=344   y=1329  width=32    height=51    xoffset=2     yoffset=31    xadvance=36    page=0 chnl=0 letter="q"
char id=114    x=1644  y=1329  width=23    height=36    xoffset=3     yoffset=31    xadvance=25    page=0 chnl=0 letter="r"
char id=115    x=1469  y=1329  width=27    height=37    xoffset=2     yoffset=31    xadvance=29    page=0 chnl=0 letter="s"
char id=116    x=1338  y=1329  width=22    height=45    xoffset=1     yoffset=22    xadvance=22    page=0 chnl=0 letter="t"
char id=117    x=1581  y=1329  width=32    height=36    xoffset=3     yoffset=32    xadvance=36    page=0 chnl=0 letter="u"
char id=118    x=1754  y=1329  width=34    height=35    xoffset=0     yoffset=32    xadvance=32    page=0 chnl=0 letter="v"
char id=119    x=1667  y=1329  width=51    height=35    xoffset=0     yoffset=32    xadvance=49    page=0 chnl=0 letter="w"
char id=120    x=1718  y=1329  width=36    height=35    xoffset=0     yoffset=32    xadvance=35    page=0 chnl=0 letter="x"
char id=121    x=1304  y=1329  width=34    height=49    xoffset=0     yoffset=32    xadvance=33    page=0 chnl=0 letter="y"
char id=122    x=1821  y=1329  width=31    height=35    xoffset=1     yoffset=32    xadvance=32    page=0 chnl=0 letter="z"
char id=169    x=1834  y=1272  width=52    height=52    xoffset=2     yoffset=16    xadvance=55    page=0 chnl=0 letter="©"
char id=8220   x=1852  y=1329  width=37    height=25    xoffset=3     yoffset=17    xadvance=41    page=0 chnl=0 letter="“"
char id=8221   x=1889  y=1329  width=37    height=25    xoffset=3     yoffset=17    xadvance=41    page=0 chnl=0 letter="”"
char id=8230   x=45    y=1380  width=64    height=16    xoffset=5     yoffset=52    xadvance=72    page=0 chnl=0 letter="…"
char id=12289  x=1995  y=1329  width=21    height=21    xoffset=2     yoffset=51    xadvance=64    page=0 chnl=0 letter="、"
char id=12290  x=1946  y=1329  width=23    height=23    xoffset=3     yoffset=49    xadvance=64    page=0 chnl=0 letter="。"
