PrefabName;SequenceIndex;TupleIndex;Lane;ObstacleGUID;TokenGUID;PowerUpGUID
BalloonyIdle;0;0;Left;NULL;eef73bb34eeab7443a4c88631b9444db;NULL
BalloonyIdle;0;0;Middle;c8589bbbac61082489b4582dd637afa4;NULL;NULL
BalloonyIdle;0;0;Right;NULL;NULL;NULL
BalloonyIdle;1;0;Left;NULL;NULL;NULL
BalloonyIdle;1;0;Middle;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;1;0;Right;NULL;NULL;NULL
BalloonyIdle;1;1;Left;NULL;NULL;NULL
BalloonyIdle;1;1;Middle;54816eb06f45e704db0e1fb18afb53ca;NULL;NULL
BalloonyIdle;1;1;Right;NULL;eef73bb34eeab7443a4c88631b9444db;NULL
BalloonyIdle;2;0;Left;NULL;NULL;NULL
BalloonyIdle;2;0;Middle;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;2;0;Right;NULL;NULL;NULL
BalloonyIdle;2;1;Left;4076456460b4e7b4e9ba3b7e75cfecf2;NULL;NULL
BalloonyIdle;2;1;Middle;87e0f339414c68140804775ec5526d59;NULL;NULL
BalloonyIdle;2;1;Right;3534801d17c530c4e8d1e704d61a7c5e;e1378294dc4b5334596c5fc406f63008;NULL
BalloonyIdle;3;0;Left;NULL;NULL;NULL
BalloonyIdle;3;0;Middle;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;3;0;Right;NULL;NULL;NULL
BalloonyIdle;3;1;Left;262bf28504178a24591ebd6d5108c8b3;NULL;NULL
BalloonyIdle;3;1;Middle;8a706702812ae49408aebe5f12d0189d;eef73bb34eeab7443a4c88631b9444db;NULL
BalloonyIdle;3;1;Right;262bf28504178a24591ebd6d5108c8b3;NULL;NULL
BalloonyIdle;4;0;Left;NULL;NULL;NULL
BalloonyIdle;4;0;Middle;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;4;0;Right;NULL;NULL;NULL
BalloonyIdle;4;1;Left;8292ed8f578d6fb4d87467eaf84d905e;NULL;NULL
BalloonyIdle;4;1;Middle;NULL;NULL;NULL
BalloonyIdle;4;1;Right;4ae7e932021d15b4b94604ad4d3ce338;eef73bb34eeab7443a4c88631b9444db;NULL
BalloonyIdle;5;0;Left;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;5;0;Middle;2926a41bd6c52e242ae3cc1f849863e6;0e0de8589b9a53f41bd974e1080c862d;NULL
BalloonyIdle;5;0;Right;NULL;NULL;NULL
BalloonyIdle;5;1;Left;NULL;NULL;NULL
BalloonyIdle;5;1;Middle;5d8c808f249f61e4398cce0102bb2c97;NULL;NULL
BalloonyIdle;5;1;Right;NULL;NULL;NULL
BalloonyIdle;6;0;Left;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;6;0;Middle;NULL;NULL;NULL
BalloonyIdle;6;0;Right;NULL;NULL;NULL
BalloonyIdle;6;1;Left;NULL;NULL;NULL
BalloonyIdle;6;1;Middle;d84c655f9293dcf419f28ab9f7c8e5e1;NULL;NULL
BalloonyIdle;6;1;Right;NULL;e1378294dc4b5334596c5fc406f63008;NULL
BalloonyIdle;7;0;Left;ef41ff7d96b37324e91ed44683f30311;NULL;NULL
BalloonyIdle;7;0;Middle;a8236ce0b4d7f9648b0de45bbaea46bf;NULL;NULL
BalloonyIdle;7;0;Right;NULL;NULL;NULL
BalloonyIdle;7;1;Left;NULL;NULL;NULL
BalloonyIdle;7;1;Middle;ecc1957dd6fdc2a458598c3e39b6c5dc;0e0de8589b9a53f41bd974e1080c862d;NULL
BalloonyIdle;7;1;Right;NULL;NULL;NULL
boss_straight;0;0;Left;NULL;NULL;NULL
boss_straight;0;0;Middle;NULL;NULL;NULL
boss_straight;0;0;Right;NULL;NULL;NULL
boss_straight;0;1;Left;NULL;NULL;NULL
boss_straight;0;1;Middle;a2be63c3a1251c9449f43e5d8ea35bd0;e1378294dc4b5334596c5fc406f63008;NULL
boss_straight;0;1;Right;NULL;NULL;NULL
boss_straight;0;2;Left;NULL;NULL;NULL
boss_straight;0;2;Middle;NULL;NULL;NULL
boss_straight;0;2;Right;NULL;NULL;NULL
boss_straight;0;3;Left;NULL;NULL;NULL
boss_straight;0;3;Middle;NULL;NULL;NULL
boss_straight;0;3;Right;NULL;NULL;NULL
boss_straight;0;4;Left;NULL;NULL;NULL
boss_straight;0;4;Middle;NULL;NULL;NULL
boss_straight;0;4;Right;4ae7e932021d15b4b94604ad4d3ce338;eef73bb34eeab7443a4c88631b9444db;NULL
boss_straight;0;5;Left;3534801d17c530c4e8d1e704d61a7c5e;e1378294dc4b5334596c5fc406f63008;NULL
