info face="Futura-CondensedExtraBold" size=128 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=0,0
common lineHeight=167 base=132 scaleW=4096 scaleH=2048 pages=1 packed=0
page id=0 file="futuraJapanese4x.png"
chars count=608
char id=32     x=769   y=1875  width=0     height=0     xoffset=0     yoffset=132   xadvance=39    page=0 chnl=0 letter="space"
char id=33     x=296   y=1672  width=31    height=105   xoffset=9     yoffset=28    xadvance=47    page=0 chnl=0 letter="!"
char id=35     x=335   y=1777  width=62    height=98    xoffset=8     yoffset=34    xadvance=77    page=0 chnl=0 letter="#"
char id=36     x=320   y=0     width=52    height=126   xoffset=13    yoffset=20    xadvance=77    page=0 chnl=0 letter="$"
char id=37     x=96    y=1672  width=94    height=105   xoffset=4     yoffset=30    xadvance=100   page=0 chnl=0 letter="%"
char id=38     x=1308  y=1672  width=85    height=101   xoffset=6     yoffset=33    xadvance=91    page=0 chnl=0 letter="&"
char id=43     x=3866  y=1777  width=65    height=68    xoffset=7     yoffset=48    xadvance=77    page=0 chnl=0 letter="+"
char id=44     x=3931  y=1777  width=39    height=48    xoffset=-1    yoffset=107   xadvance=39    page=0 chnl=0 letter=","
char id=45     x=318   y=1875  width=33    height=21    xoffset=0     yoffset=86    xadvance=31    page=0 chnl=0 letter="-"
char id=46     x=226   y=1875  width=31    height=31    xoffset=5     yoffset=102   xadvance=39    page=0 chnl=0 letter="."
char id=47     x=84    y=0     width=84    height=138   xoffset=0     yoffset=25    xadvance=86    page=0 chnl=0 letter="/"
char id=48     x=1542  y=1672  width=70    height=101   xoffset=4     yoffset=33    xadvance=77    page=0 chnl=0 letter="0"
char id=49     x=599   y=1777  width=38    height=98    xoffset=19    yoffset=34    xadvance=77    page=0 chnl=0 letter="1"
char id=50     x=2421  y=1672  width=69    height=100   xoffset=4     yoffset=32    xadvance=77    page=0 chnl=0 letter="2"
char id=51     x=1679  y=1672  width=66    height=101   xoffset=6     yoffset=33    xadvance=77    page=0 chnl=0 letter="3"
char id=52     x=3878  y=1672  width=71    height=98    xoffset=4     yoffset=34    xadvance=77    page=0 chnl=0 letter="4"
char id=53     x=2691  y=1672  width=65    height=100   xoffset=7     yoffset=34    xadvance=77    page=0 chnl=0 letter="5"
char id=54     x=2490  y=1672  width=67    height=100   xoffset=6     yoffset=34    xadvance=77    page=0 chnl=0 letter="6"
char id=55     x=3733  y=1672  width=73    height=98    xoffset=6     yoffset=34    xadvance=77    page=0 chnl=0 letter="7"
char id=56     x=1612  y=1672  width=67    height=101   xoffset=6     yoffset=33    xadvance=77    page=0 chnl=0 letter="8"
char id=57     x=2557  y=1672  width=67    height=100   xoffset=6     yoffset=32    xadvance=77    page=0 chnl=0 letter="9"
char id=58     x=3012  y=1777  width=31    height=72    xoffset=5     yoffset=61    xadvance=39    page=0 chnl=0 letter=":"
char id=59     x=1219  y=1777  width=42    height=94    xoffset=-1    yoffset=61    xadvance=39    page=0 chnl=0 letter=";"
char id=61     x=0     y=1875  width=67    height=37    xoffset=6     yoffset=63    xadvance=77    page=0 chnl=0 letter="="
char id=63     x=3664  y=1561  width=63    height=106   xoffset=6     yoffset=27    xadvance=74    page=0 chnl=0 letter="?"
char id=64     x=1219  y=1672  width=89    height=101   xoffset=6     yoffset=33    xadvance=100   page=0 chnl=0 letter="@"
char id=65     x=3430  y=1672  width=77    height=98    xoffset=1     yoffset=34    xadvance=77    page=0 chnl=0 letter="A"
char id=66     x=137   y=1777  width=67    height=98    xoffset=7     yoffset=34    xadvance=77    page=0 chnl=0 letter="B"
