info face="SnyderSpeedBrush" size=64 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=0,0
common lineHeight=82 base=65 scaleW=1024 scaleH=512 pages=1 packed=0
page id=0 file="snyderRussian.png"
chars count=143
char id=32     x=63    y=329   width=0     height=0     xoffset=0     yoffset=66    xadvance=30    page=0 chnl=0 letter="space"
char id=33     x=88    y=128   width=37    height=62    xoffset=2     yoffset=10    xadvance=32    page=0 chnl=0 letter="!"
char id=35     x=0     y=287   width=48    height=42    xoffset=1     yoffset=18    xadvance=48    page=0 chnl=0 letter="#"
char id=36     x=86    y=287   width=21    height=38    xoffset=2     yoffset=11    xadvance=15    page=0 chnl=0 letter="$"
char id=37     x=0     y=0     width=56    height=65    xoffset=2     yoffset=8     xadvance=58    page=0 chnl=0 letter="%"
char id=40     x=407   y=128   width=41    height=60    xoffset=2     yoffset=11    xadvance=33    page=0 chnl=0 letter="("
char id=41     x=373   y=128   width=34    height=61    xoffset=0     yoffset=12    xadvance=35    page=0 chnl=0 letter=")"
char id=43     x=48    y=287   width=38    height=39    xoffset=2     yoffset=22    xadvance=42    page=0 chnl=0 letter="+"
char id=44     x=933   y=287   width=12    height=17    xoffset=-4    yoffset=56    xadvance=14    page=0 chnl=0 letter=","
char id=45     x=0     y=329   width=30    height=12    xoffset=3     yoffset=33    xadvance=31    page=0 chnl=0 letter="-"
char id=46     x=920   y=287   width=13    height=17    xoffset=-5    yoffset=56    xadvance=11    page=0 chnl=0 letter="."
char id=47     x=796   y=65    width=56    height=62    xoffset=-3    yoffset=11    xadvance=39    page=0 chnl=0 letter="/"
char id=48     x=0     y=128   width=49    height=62    xoffset=0     yoffset=9     xadvance=45    page=0 chnl=0 letter="0"
char id=49     x=49    y=128   width=39    height=62    xoffset=1     yoffset=10    xadvance=32    page=0 chnl=0 letter="1"
char id=50     x=856   y=0     width=55    height=63    xoffset=0     yoffset=9     xadvance=52    page=0 chnl=0 letter="2"
char id=51     x=908   y=65    width=51    height=62    xoffset=2     yoffset=10    xadvance=50    page=0 chnl=0 letter="3"
char id=52     x=744   y=0     width=56    height=63    xoffset=1     yoffset=9     xadvance=53    page=0 chnl=0 letter="4"
char id=53     x=162   y=128   width=64    height=61    xoffset=2     yoffset=10    xadvance=58    page=0 chnl=0 letter="5"
char id=54     x=108   y=65    width=53    height=63    xoffset=2     yoffset=9     xadvance=47    page=0 chnl=0 letter="6"
char id=55     x=911   y=0     width=55    height=63    xoffset=1     yoffset=9     xadvance=49    page=0 chnl=0 letter="7"
char id=56     x=959   y=65    width=50    height=62    xoffset=2     yoffset=10    xadvance=46    page=0 chnl=0 letter="8"
char id=57     x=161   y=65    width=53    height=63    xoffset=1     yoffset=9     xadvance=50    page=0 chnl=0 letter="9"
char id=58     x=870   y=239   width=30    height=44    xoffset=-5    yoffset=27    xadvance=25    page=0 chnl=0 letter=":"
char id=61     x=890   y=287   width=30    height=22    xoffset=1     yoffset=30    xadvance=33    page=0 chnl=0 letter="="
char id=63     x=329   y=128   width=44    height=61    xoffset=5     yoffset=10    xadvance=43    page=0 chnl=0 letter="?"
char id=64     x=278   y=128   width=51    height=61    xoffset=3     yoffset=18    xadvance=55    page=0 chnl=0 letter="@"
char id=65     x=0     y=65    width=54    height=63    xoffset=-6    yoffset=9     xadvance=44    page=0 chnl=0 letter="A"
char id=66     x=679   y=65    width=60    height=62    xoffset=-2    yoffset=9     xadvance=53    page=0 chnl=0 letter="B"
char id=67     x=267   y=65    width=48    height=63    xoffset=-1    yoffset=9     xadvance=43    page=0 chnl=0 letter="C"
