info face="SnyderSpeedBrush" size=128 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=0,0
common lineHeight=163 base=130 scaleW=2048 scaleH=1024 pages=1 packed=0
page id=0 file="snyderRussian.png"
chars count=143
char id=32     x=123   y=650   width=0     height=0     xoffset=0     yoffset=131   xadvance=61    page=0 chnl=0 letter="space"
char id=33     x=1774  y=128   width=72    height=123   xoffset=5     yoffset=20    xadvance=65    page=0 chnl=0 letter="!"
char id=35     x=69    y=565   width=95    height=82    xoffset=1     yoffset=37    xadvance=96    page=0 chnl=0 letter="#"
char id=36     x=239   y=565   width=40    height=74    xoffset=4     yoffset=24    xadvance=31    page=0 chnl=0 letter="$"
char id=37     x=0     y=0     width=111   height=128   xoffset=4     yoffset=18    xadvance=117   page=0 chnl=0 letter="%"
char id=40     x=883   y=252   width=81    height=118   xoffset=4     yoffset=22    xadvance=66    page=0 chnl=0 letter="("
char id=41     x=716   y=252   width=66    height=121   xoffset=1     yoffset=23    xadvance=70    page=0 chnl=0 letter=")"
char id=43     x=164   y=565   width=75    height=76    xoffset=5     yoffset=45    xadvance=84    page=0 chnl=0 letter="+"
char id=44     x=1892  y=565   width=23    height=32    xoffset=-7    yoffset=112   xadvance=28    page=0 chnl=0 letter=","
char id=45     x=0     y=650   width=58    height=23    xoffset=7     yoffset=67    xadvance=61    page=0 chnl=0 letter="-"
char id=46     x=1867  y=565   width=25    height=32    xoffset=-11   yoffset=112   xadvance=22    page=0 chnl=0 letter="."
char id=47     x=119   y=252   width=110   height=122   xoffset=-6    yoffset=24    xadvance=78    page=0 chnl=0 letter="/"
char id=48     x=1600  y=128   width=97    height=123   xoffset=0     yoffset=18    xadvance=91    page=0 chnl=0 letter="0"
char id=49     x=1697  y=128   width=77    height=123   xoffset=3     yoffset=20    xadvance=65    page=0 chnl=0 letter="1"
char id=50     x=334   y=128   width=108   height=124   xoffset=1     yoffset=19    xadvance=104   page=0 chnl=0 letter="2"
char id=51     x=1499  y=128   width=101   height=123   xoffset=5     yoffset=19    xadvance=100   page=0 chnl=0 letter="3"
char id=52     x=113   y=128   width=111   height=124   xoffset=2     yoffset=19    xadvance=106   page=0 chnl=0 letter="4"
char id=53     x=400   y=252   width=127   height=121   xoffset=3     yoffset=20    xadvance=117   page=0 chnl=0 letter="5"
char id=54     x=1427  y=0     width=104   height=125   xoffset=3     yoffset=18    xadvance=94    page=0 chnl=0 letter="6"
char id=55     x=1214  y=0     width=108   height=125   xoffset=2     yoffset=18    xadvance=98    page=0 chnl=0 letter="7"
